Model,Year, Mileage , Price , CompPrice ,Location, AgeScore , MileageScore , AgeScoreNorm , MileageScoreNorm , CombinedScore ,PriceToScore,VIN,ID,Notes,URL,Ignore?
Civic,2000,65824,3990,5424.4351,Burien, 32.42 , 51.22 , 0.32 , 0.15 , 0.18 , 0.74 ,2HGEJ6673YH532121,,stick shift,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=4000&mmt=%5BHONDA%5BCIVIC%5B%5DACCORD%5B%5D%5D%5B%5D%5D&modelCode1=CIVIC&makeCode2=HONDA&modelCode2=ACCORD&sortBy=mileageASC&showcaseOwnerId=575701&makeCode1=HONDA&startYear=1981&searchRadius=75&listingId=319431689&listingIndex=11&Log=0,Y
Sonata,2005,82000,3500,4977.692164,Aberdeen, 15.25 , 72.80 , 0.15 , 0.21 , 0.20 , 0.70 ,,,Heck of a drive to see it,http://seattle.craigslist.org/oly/cto/3505444331.html,Y
Elantra,2004,86054,4999,4528.82418,Sumner, 18.38 , 78.64 , 0.18 , 0.23 , 0.22 , 1.10 ,KMHDN46D34U915598,,Accident on Nov 2005. Manual,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=5000&mmt=%5BHYUND%5BELANTR%5B%5DELANTOUR%5B%5DSONATA%5B%5D%5D%5B%5D%5D&modelCode1=ELANTR&sortBy=mileageASC&makeCode2=HYUND&modelCode2=ELANTOUR&showcaseOwnerId=100019686&startYear=1981&makeCode1=HYUND&modelCode3=SONATA&numRecords=50&searchRadius=75&makeCode3=HYUND&minPrice=4000&listingId=336156122&listingIndex=5&Log=0,Y
Elantra,2003,87783,4995,4286.300524,Everett, 21.67 , 81.18 , 0.21 , 0.24 , 0.23 , 1.17 ,KMHDN45D03U540091,,Manual,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=5000&mmt=%5BHYUND%5BELANTR%5B%5DELANTOUR%5B%5DSONATA%5B%5D%5D%5B%5D%5D&modelCode1=ELANTR&sortBy=mileageASC&makeCode2=HYUND&modelCode2=ELANTOUR&showcaseOwnerId=100019686&startYear=1981&makeCode1=HYUND&modelCode3=SONATA&numRecords=50&searchRadius=75&makeCode3=HYUND&minPrice=4000&listingId=328275744&listingIndex=6&Log=0,Y
Sonata,2004,90935,4485,4204.802581,Lynnwood, 18.38 , 85.90 , 0.18 , 0.25 , 0.24 , 1.07 ,KMHWF25S54A968847,,AutoCheck reports minor damage to rear-left. Well maintained. Lease. Manual,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=5000&mmt=%5BHYUND%5BELANTR%5B%5DELANTOUR%5B%5DSONATA%5B%5D%5D%5B%5D%5D&modelCode1=ELANTR&sortBy=mileageASC&makeCode2=HYUND&modelCode2=ELANTOUR&showcaseOwnerId=100019686&startYear=1981&makeCode1=HYUND&modelCode3=SONATA&numRecords=50&searchRadius=75&makeCode3=HYUND&minPrice=4000&listingId=336692010&listingIndex=1&Log=0,Y
Elantra,2003,90000,3900,4148.500153,Bellevue, 21.67 , 84.49 , 0.21 , 0.25 , 0.24 , 0.94 ,,A,Minor accident. Needs mechanic to check out. Sent email.,http://seattle.craigslist.org/est/cto/3503234146.html,
Accord,1995,72000,3400,4110.706495,Seattle, 52.80 , 59.12 , 0.52 , 0.17 , 0.24 , 0.83 ,,,2-door coupe,http://seattle.craigslist.org/see/cto/3486555475.html,Y
Sonata,2001,90000,2700,3921.785501,Lakewood, 28.70 , 84.49 , 0.28 , 0.25 , 0.25 , 0.69 ,,,manual,http://seattle.craigslist.org/tac/cto/3445685323.html,Y
Elantra,2004,96977,4997,3851.243806,Everett, 18.38 , 95.21 , 0.18 , 0.28 , 0.26 , 1.30 ,KMHDN46D04U790270,,Manual,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=5000&mmt=%5BHYUND%5BELANTR%5B%5DELANTOUR%5B%5DSONATA%5B%5D%5D%5B%5D%5D&modelCode1=ELANTR&sortBy=mileageASC&makeCode2=HYUND&modelCode2=ELANTOUR&showcaseOwnerId=100019686&startYear=1981&makeCode1=HYUND&modelCode3=SONATA&numRecords=50&searchRadius=75&makeCode3=HYUND&minPrice=4000&listingId=331172894&listingIndex=7&Log=0,Y
Sonata,2004,98376,3990,3775.991396,Olympia, 18.38 , 97.41 , 0.18 , 0.29 , 0.26 , 1.06 ,KMHWF25S54A091857,,Lien reported. No maintenance records. Check by mechanic. It's a manual,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=4000&mmt=%5BHYUND%5BELANTR%5B%5DELANTOUR%5B%5DSONATA%5B%5D%5D%5B%5D%5D&modelCode1=ELANTR&sortBy=mileageASC&makeCode2=HYUND&modelCode2=ELANTOUR&showcaseOwnerId=100019686&startYear=1981&makeCode1=HYUND&modelCode3=SONATA&makeCode3=HYUND&searchRadius=75&listingId=337000719&listingIndex=1&Log=0,Y
Corolla,2000,91223,4999,3749.800709,Lynnwood, 32.42 , 86.33 , 0.32 , 0.25 , 0.27 , 1.33 ,1NXBR12E8YZ407559,D,,http://seattle.craigslist.org/sno/ctd/3476508209.html,
Elantra,2004,106810,4895,3367.476437,Kent, 18.38 , 111.12 , 0.18 , 0.33 , 0.30 , 1.45 ,KMHDN46D84U713968,M,,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=5000&mmt=%5BHYUND%5BELANTR%5B%5DELANTOUR%5B%5DSONATA%5B%5D%5D%5B%5D%5D&modelCode1=ELANTR&sortBy=mileageASC&makeCode2=HYUND&modelCode2=ELANTOUR&showcaseOwnerId=100019686&startYear=1981&makeCode1=HYUND&modelCode3=SONATA&numRecords=50&searchRadius=75&makeCode3=HYUND&minPrice=4000&listingId=334711832&listingIndex=8&Log=0,
