County,District CCDDD,District Name,Basic Ed Enrollment Range,Basic Ed  AAFTE Enrollment 2009-10 ,Basic Education Total Costs ,Basic Ed - Total Costs Per Student,Basic Ed - Staff Costs Per Student,Basic Ed - Non-employee Related Costs per Student,Special Ed Programs Average Annual Student Count ,Special Ed Programs Total Costs ,Special Ed Costs Per Student,Transitional Bilingual Average Annual Student Count ,Transitional Bilingual  Total Costs  ,Transitional Bilingual Costs Per Student,Totals Revenues per student By Revenue Type,State,Federal,Local Tax,Local Other,All Teacher FTE - Basic Ed Programs,All Certificated Instructional Staff FTE - Basic Ed ,Basic Ed Student to Teacher Ratio,Basic Ed Student to All Certificated Instructional Staff Ratio,October Ridership Count,Total Transportation Costs,Annual Transportation Cost Per October Student Ridership Count,Reported Number of Student Transportation Trips,Transportation Costs Per Student Trip
ADAMS,1109,Washtucna,<100,59.18,981502.39,16585.03532,15576.40267,1008.632646,5.625,79617.86,14154.28622,0,0,0,33832.72001,27201.17286,3637.563366,2991.46857,2.51520784,11.354,10.354,5.715665443,5.212259996,34,121085.72,3561.344706,14400,8.408730556
ADAMS,1122,Benge,<100,6.78,165138.92,24356.77286,22944.12684,1412.646018,4,32100.56,8025.14,0,0,0,59573.16519,52639.4469,2866.716814,4067.001475,0,2,2,3.39,3.39,4,47500.35,11875.0875,1440,32.98635417
ADAMS,1147,Othello,> 3500 and < 5000,3655.75,14805486.21,4049.917585,3704.230046,345.6875388,398.75,2624890.93,6582.798571,1317.125,1317108.34,999.9873512,9328.281554,6502.26173,2163.911504,662.1083198,0,158.158,147.214,24.83289633,23.11454368,1268,955782.17,753.7714274,476820,2.004492618
ADAMS,1158,Lind,> 100 and < 250,205.36,1498287.28,7295.906116,6615.75112,680.1549961,22,183126.48,8323.930909,25.375,18863.35,743.3832512,16248.94235,11189.47999,1748.911959,2876.968884,433.5815154,15.092,15.092,13.60720912,13.60720912,87,332757.92,3824.803678,33660,9.885856209
ADAMS,1160,Ritzville,> 250 and < 500,337.1,2314212.49,6865.062266,6336.672412,528.3898546,21.25,198977.97,9363.669176,0,0,0,13015.14435,8429.702017,1553.072382,2619.409166,412.9607832,21.958,21.958,15.3520357,15.3520357,87,421453.39,4844.291839,31680,13.30345297
ASOTIN,2250,Clarkston,> 2000 and < 3500,2717.34,13127229.69,4830.911734,4325.291149,505.6205848,541.5,3093063.87,5712.029307,22.25,23327.18,1048.412584,9860.338025,6484.843542,1994.464859,1377.052228,3.977397013,115.736,107.236,25.33981126,23.47877929,584,691295.88,1183.725822,236340,2.925005839
ASOTIN,2420,Asotin-Anatone,> 500 and < 1000,630.81,3461906.35,5488.033401,4682.163916,805.8694853,99.875,783014.6,7839.945932,0,0,0,10340.63136,7178.429036,1301.084257,1861.11807,0,32.82,30.82,20.46755354,19.2202925,173,327735.43,1894.424451,63000,5.202149683
BENTON,3017,Kennewick,> 10000,15586.06,72613259.1,4658.859205,4304.944165,353.9150395,1854.875,15843018.78,8541.286491,1746.25,1717764.57,983.6876564,9267.443626,6557.213962,1279.024971,1392.084305,39.12038706,700.777,639.715,24.36406837,22.24111237,3942,3972107.42,1007.6376,1871064,2.122913711
BENTON,3050,Paterson,<100,97.94,422655.15,4315.449765,3706.529202,608.9205636,13.125,84416.49,6431.732571,33.25,32192.3,968.1894737,13864.15744,8199.55728,3330.047376,2334.552787,0,4.665,4.665,20.99464094,20.99464094,126,180788.59,1434.830079,45360,3.985639109
BENTON,3052,Kiona-Benton City,> 1000 and < 2000,1478.7,7222420.5,4884.304118,4289.315622,594.9884967,240.125,1656618.64,6898.984446,210.375,228270.35,1085.064052,10297.06081,6705.135802,2034.982485,1454.039974,102.9025495,66.834,62.534,23.64633639,22.12496633,626,451762.29,721.665,249120,1.813432442
BENTON,3053,Finley,> 500 and < 1000,977.86,4863041.84,4973.147322,4486.902737,486.2445851,135.375,913957.18,6751.299575,123.5,111223.59,900.5958704,10227.21697,6981.832461,1644.746692,1596.525065,4.112756427,45.946,41.946,23.31235398,21.28281026,528,380755.94,721.1286742,197100,1.931790665
