ESD Code,ESD Name,District-County Code,District name,School Code,School name,Lowest Grade,Highest Grade,Physical AddressLine1,Physical City,Physical State,Physical ZipCode,phone,School Type
18801,Olympic Educational Service District 114,5402,Quillayute Valley School District,1500,Forks Alternative School,9,12,161 East E Street,Forks,Washington,98331-0000,360.374.6262,Alternative School w/ > 50% From Within District
17801,Puget Sound Educational Service District 121,17410,Snoqualmie Valley School District,1502,Two Rivers School,7,12,330 BALLARAT AVE N,NORTH BEND,Washington,98045-0000,425.831.4200,Alternative School w/ > 50% From Within District
4801,North Central Educational Service District 171,13144,Quincy School District,1506,Quincy High Tech High,9,12,404 1st Ave SW,Quincy,Washington,98848-1201,509.787.1678,Alternative School w/ > 50% From Within District
39801,Educational Service District 105,39202,Toppenish School District,1508,Eagle High School,6,12,143 WARD RD,TOPPENISH,Washington,98948-1000,509.865.3377,Alternative School w/ > 50% From Within District
17801,Puget Sound Educational Service District 121,27403,Bethel School District,1510,Challenger Secondary School,5,12,18020 B Street East,Spanaway,Washington,98387-8321,253.683.6800,Alternative School w/ > 50% From Within District
17801,Puget Sound Educational Service District 121,27010,Tacoma School District,1514,Alternative Spcl Needs Div Occ,9,12,601 S 8TH ST,TACOMA,Washington,98405-4614,(253) 571-1040,Special Education School
17801,Puget Sound Educational Service District 121,27401,Peninsula School District,1516,Henderson Bay Alt High School,9,12,8402 Skansie Ave,Gig Harbor,Washington,98332-0000,253.530.1700,Alternative School w/ > 50% From Within District
4801,North Central Educational Service District 171,13156,Soap Lake School District,1518,Smokiam Alternative High School,9,12,120 EAST MAIN STREET,SOAP LAKE,Washington,98851-0000,(509) 246-0572,Alternative School w/ > 50% From Outside of District
29801,Northwest Educational Service District 189,31015,Edmonds School District,1519,Edmonds Independent Learning,9,12,20420 68TH AVE W,LYNNWOOD,Washington,98036-7400,425.431.7298,Alternative School w/ > 50% From Within District
29801,Northwest Educational Service District 189,31015,Edmonds School District,1520,Challenge Elementary,K ,6,5409 228TH ST SW,MTLK TERRACE,Washington,98043-5251,425.431.7482,Alternative School w/ > 50% From Within District
29801,Northwest Educational Service District 189,31015,Edmonds School District,1520,Challenge Elementary,K ,6,5409 228TH ST SW,MTLK TERRACE,Washington,98043-5251,425.670.7157,Alternative School w/ > 50% From Within District
17801,Puget Sound Educational Service District 121,17216,Enumclaw School District,1523,Special Ed School,PK,12,2929 McDougall Avenue,Enumclaw,Washington,98022,360.802.7104,Special Education School
17801,Puget Sound Educational Service District 121,17403,Renton School District,1527,Sartori Education Center,9,12,315 GARDEN AVE N,RENTON,Washington,98055-1765,(425) 204-4500,Alternative School w/ > 50% From Within District
6801,Educational Service District 112,6112,Washougal School District,1528,Excelsior High School,9,12,1401 39TH STREET,WASHOUGAL,Washington,98671-9074,360.954.3300,Alternative School w/ > 50% From Within District
6801,Educational Service District 112,6114,Evergreen School District (Clark),1530,Early Childhood Center,PK,PK,14405 NE 28th Street,Vancouver,Washington,98682-8176,360.604.3925,Special Education School
32801,Educational Service District 101,32081,Spokane School District,1533,A-3 Multiagency Adolescent Prog,9,12,610 E Northfoothills Drive,Spokane,Washington,99207,458-7458,Institution
17801,Puget Sound Educational Service District 121,17403,Renton School District,1534,Griffin Home,6,12,2500 LAKE WASHINGTON BLVD N,RENTON,Washington,98056-2508,425.204.2200,Special Education School
29801,Northwest Educational Service District 189,29101,Sedro-Woolley School District,1537,State Street High School,9,12,800 State Street,Sedro-Woolley,Washington,98284-0000,360.855.3550,Alternative School w/ > 50% From Outside of District
17801,Puget Sound Educational Service District 121,17401,Highline School District,1539,CHOICE Academy,7,12,440 S 186th St,Seattle,Washington,98148-1934,206.631.7630,Alternative School w/ > 50% From Within District
17801,Puget Sound Educational Service District 121,17411,Issaquah School District,1540,Tiger Mountain Community High School,9,12,355 SE EVANS LN,ISSAQUAH,Washington,98027-0000,(425) 837-6200,Alternative School w/ > 50% From Within District
17801,Puget Sound Educational Service District 121,27416,White River School District,1544,Collins Alternative Programs,4,12,27515 120th St E,Buckley,Washington,98321-9481,360.829.5747,Alternative School w/ > 50% From Outside of District
17801,Puget Sound Educational Service District 121,17001,Seattle Public Schools,1547,Middle College High School,9,12,1330 N 90 St,SEATTLE,Washington,98125-7136,206.252.4785,Public School
29801,Northwest Educational Service District 189,31015,Edmonds School District,1558,Unassigned Special Education,PK,9,20420 68TH AVE W,LYNNWOOD,Washington,98036-6700,(425) 431-7122,Special Education School
17801,Puget Sound Educational Service District 121,27403,Bethel School District,1560,Thompson Preschool,PK,PK,15616 5th Ave E,Tacoma,Washington,98445-0000,(253) 683-6931,Public School
17801,Puget Sound Educational Service District 121,27403,Bethel School District,1564,Shining Mountain Preschool,PK,PK,21917 38th Ave E,Spanaway,Washington,98387-0000,(253) 683-6931,Public School
32801,Educational Service District 101,32081,Spokane School District,1566,Alternative Northeast Community Center Preschool,PK,PK,4001 N Cook,Spokane,Washington,99207-5880,(509) 533-8816,Public School
32801,Educational Service District 101,32081,Spokane School District,1567,Alternative Bancroft School,3,12,1025 W Spofford Ave,Spokane,Washington,99205-4535,509.354.7064,Alternative School w/ > 50% From Within District
29801,Northwest Educational Service District 189,31103,Monroe School District,1570,Monroe Special Ed Preschool,PK,PK,200 E FREMONT,MONROE,Washington,98272-2336,630.804.2500,Special Education School
6801,Educational Service District 112,6037,Vancouver School District,1574,Fir Grove Childrens Center,1,12,2920 FALK RD,VANCOUVER,Washington,98661-5604,360.313.1800,Special Education School
17801,Puget Sound Educational Service District 121,17001,Seattle Public Schools,1579,Tops K-8 School,PK,8,2500 FRANKLIN AV E,SEATTLE,Washington,98102-3264,206.252.3510,Alternative School w/ > 50% From Within District
17801,Puget Sound Educational Service District 121,27010,Tacoma School District,1585,Comm Based Trans Program,11,12,601 S 8th St,Tacoma,Washington,98405-0000,253.571.1145,Special Education School
32801,Educational Service District 101,33115,Colville School District,1594,Panorama School,PK,12,225 South Hofstetter,Colville,WA,99114-3239,509.684.7840,Alternative School w/ > 50% From Within District
17801,Puget Sound Educational Service District 121,17001,Seattle Public Schools,1596,Secondary BOC,6,12,301 21st Ave E,SEATTLE,Washington,98109-2128,206.252.2200,Alternative School w/ > 50% From Within District
6801,Educational Service District 112,6119,Battle Ground School District,1597,Homelink Schools,K ,12,715 NW ONSDORFF BLVD.,BATTLE GROUND,Washington,98604-0000,360.885.6801,Alternative School w/ > 50% From Within District
32801,Educational Service District 101,32081,Spokane School District,1603,Daybreak Alternative School,8,12,628 S Cowley St,Spokane,Washington,99202-2695,354-7899,Alternative School w/ > 50% From Within District
32801,Educational Service District 101,32081,Spokane School District,1604,Alternative Tamarack School,7,12,W 2901 Ft George Wright,Spokane,Washington,99224-5253,326-8100,Institution
29801,Northwest Educational Service District 189,29011,Concrete School District,1605,Twin Cedars High School,10,12,45389 Airport Way,Concrete,Washington,98237,360.853.8143,Alternative School w/ > 50% From Within District
4801,North Central Educational Service District 171,4246,Wenatchee School District,1612,Skill Source,9,12,233 CHELAN ST,WENATCHEE,Washington,98801-0000,509.663.3369,Alternative School w/ > 50% From Within District
4801,North Central Educational Service District 171,4246,Wenatchee School District,1613,Westside High School,9,12,1521 NINTH,WENATCHEE,Washington,98801-0000,509.663.7947,Alternative School w/ > 50% From Within District
11801,Educational Service District 123,2250,Clarkston School District,1617,Educational Opportunity Center,7,12,1284 Chestnut St,Clarkston,Washington,99403-2557,509.758.4508,Alternative School w/ > 50% From Within District
17801,Puget Sound Educational Service District 121,17001,Seattle Public Schools,1620,Pathfinder K-8 School,K ,8,1901 SW Genesee St,SEATTLE,Washington,98116-4037,206.252.9710,Alternative School w/ > 50% From Within District
4801,North Central Educational Service District 171,24350,Methow Valley School District,1621,Alternative School,9,12,220 Hwy 20,Twisp,Washington,98856-0000,509.996.2215,Alternative School w/ > 50% From Within District
17801,Puget Sound Educational Service District 121,17411,Issaquah School District,1624,Issaquah Special Services,PK,12,565 NW HOLLY ST,ISSAQUAH,Washington,98027-2899,(425) 837-7085,Special Education School
34801,Educational Service District 113,34002,Yelm School District,1627,Yelm Extension School,9,12,107 First St. N,Yelm,Washington,98597-7682,360.458.6209,Alternative School w/ > 50% From Within District
32801,Educational Service District 101,32363,West Valley School District (Spokane),1628,CBE Alternative Programs,9,12,115 S University,Spokane,Washington,99206-0000,509.927.1100,Alternative School w/ > 50% From Outside of District
34801,Educational Service District 113,14068,Elma School District,1629,East Grays Harbor High School,9,12,705 West Waldrip,Elma,Washington,98541-0000,360.482.5086,Alternative School w/ > 50% From Within District
