School District,Principal - Good,Principal - Bad,Teacher - PGO Good,Teacher - PGO Bad,Teacher - Good,Teacher - Bad
Aberdeen School District,11,0,65,0,138,0
Adna School District,2,0,0,0,36,0
Almira School District,1,0,0,0,12,0
Anacortes School District,10,0,15,0,150,0
Arlington School District,18,0,183,0,127,1
Asotin-Anatone School District,2,0,0,0,41,1
Auburn School District,35,0,204,0,584,0
Bainbridge Island School District,11,0,0,0,215,3
Battle Ground School District,40,0,33,0,693,5
Bellevue School District,34,6,0,0,1119,25
Bellingham School District,31,0,215,0,383,1
Benge School District,0,0,0,0,2,0
Bethel School District,38,1,250,0,1035,14
Bickleton School District,1,0,0,0,13,0
Blaine School District,5,1,44,0,70,0
Boistfort School District,1,0,0,0,6,0
Bremerton School District,14,0,74,0,235,0
Brewster School District,2,0,9,0,45,0
Bridgeport School District,3,0,0,0,47,0
Brinnon School District,0,0,0,0,4,1
Burlington-Edison School District,9,0,52,0,186,0
Camas School District,14,0,62,0,242,1
Cape Flattery School District,3,0,0,1,51,1
Carbonado School District,1,0,0,0,12,0
Cascade School District,4,0,19,0,53,0
Cashmere School District,6,0,0,0,85,0
Castle Rock School District,3,0,0,0,67,1
Centerville School District,1,0,0,0,5,0
Central Kitsap School District,28,0,0,0,611,0
Central Valley School District,38,0,19,0,676,9
Centralia School District,0,0,11,0,189,2
Chehalis School District,9,0,23,0,133,0
Cheney School District,11,0,51,0,219,0
Chewelah School District,3,0,0,0,53,0
Chimacum School District,4,0,43,0,26,0
Clarkston School District,12,0,0,0,152,0
Cle Elum-Roslyn School District,4,0,0,0,47,0
Clover Park School District,36,1,44,0,507,12
Colfax School District,4,0,4,0,34,0
College Place School District,2,0,0,0,53,0
Colton School District,2,0,0,0,16,0
Columbia (Stevens) School District,1,0,0,0,20,0
Columbia (Walla Walla) School District,5,0,0,0,54,0
Colville School District,6,0,27,0,118,0
Concrete School District,2,0,16,0,24,0
Conway School District,1,0,0,0,25,0
Cosmopolis School District,,,,,,
Coulee-Hartline School District,2,0,0,0,14,0
Coupeville School District,3,0,10,0,40,0
