ZipCode,Hispanic/Latino,White,Black,Native American,Asian,Hawaiian/Pacific Islander,Other,Multiracial
98001,4.20,82.80,2.60,1,5.80,0.50,0.30,3
98002,8.10,79.90,2.30,2,3.20,0.50,0.10,3.70
98003,8.60,65,8.60,1,11.10,1,0.20,4.80
98004,3.10,83.70,1.20,0,9.40,0.20,0.10,2.10
98005,5.10,73.20,1.90,0,16.50,0.20,0.40,2.50
98006,2.70,73.40,1.60,0,19,0.20,0.30,2.70
98007,9.80,60.40,2.70,0,22.60,0.30,0.20,3.50
98008,5.80,74.90,1.80,0,13.80,0.30,0.20,2.80
98010,2.40,92.20,0.10,1,1,0,0.20,2.60
98011,4.70,84.50,1.30,1,5.80,0.20,0.20,2.80
98012,3.90,83.20,1.20,1,8.20,0.30,0.20,2.50
98012,3.90,83.20,1.20,1,8.20,0.30,0.20,2.50
98012,3.90,83.20,1.20,1,8.20,0.30,0.20,2.50
98014,2.90,91.90,0.10,1,1.90,0.10,0.30,1.80
98019,4,91.50,0.50,0,1.60,0,0,1.90
98020,2.20,90.40,0.80,1,3.90,0.10,0.20,1.90
98021,3.10,86.80,1,1,5.60,0.20,0.10,2.60
98022,3.70,91.80,0.20,1,0.70,0.10,0.10,2
98023,6.10,68.40,6.70,1,12.80,0.90,0.20,4.10
98024,3,91,0.90,1,1.10,0.10,0.10,2.70
98026,3.70,82.90,1.50,1,7.60,0.30,0.10,3.20
98027,3.40,87.60,0.80,1,5.10,0.10,0.20,2.30
98028,3.60,84.90,1.30,0,6.90,0.20,0.20,2.60
98029,2.50,83.50,0.70,0,10.40,0.10,0.20,2.30
98031,6.10,67.70,7.30,1,12.30,0.70,0.60,4.60
98032,10.80,65.70,8.90,1,7.90,1,0.40,4.30
98033,3.20,85.90,1.10,0,6.60,0.20,0.20,2.40
98034,5.30,79.30,1.80,0,9.50,0.20,0.20,3.20
98036,6.40,75.10,2.50,1,11.10,0.40,0.10,3.50
98036,6.40,75.10,2.50,1,11.10,0.40,0.10,3.50
98037,5.20,74.70,2.50,1,12.40,0.40,0.20,3.70
98038,2.90,90.60,0.90,1,2,0.10,0.20,2.70
98039,1.40,91.40,0.20,0,5,0.10,0.10,1.50
98040,1.90,82.80,1.10,0,11.80,0.10,0.20,1.90
98042,3.50,86.20,2.10,1,4,0.30,0.30,2.70
98042,3.50,86.20,2.10,1,4,0.30,0.30,2.70
98043,5.70,75.20,2.50,1,10.50,0.60,0.30,4.20
98045,2.70,92.10,0.50,1,1.60,0.20,0.10,1.90
98047,6.70,82.10,1.20,1,4.80,0.20,0.10,3.50
98051,1.50,94.70,0.60,1,0.30,0,0.10,1.90
98052,5.50,77.30,1.40,0,12.30,0.20,0.30,2.70
98053,2.40,87.30,0.80,0,6.60,0.10,0.20,2.30
98055,6.60,60.80,11.20,1,15.50,0.70,0.50,4.20
98056,6.60,72.30,4.80,1,11.70,0.30,0.20,3.50
98056,6.60,72.30,4.80,1,11.70,0.30,0.20,3.50
98058,3.60,74.90,4.90,1,11.80,0.40,0.20,3.50
98059,5.40,79.10,2.50,1,9.10,0.20,0.20,2.70
98059,5.40,79.10,2.50,1,9.10,0.20,0.20,2.70
98065,3.20,90,0.50,2,1.80,0.10,0.30,2.30
98070,2.60,91.90,0.40,1,1.50,0.10,0.30,2.60
98072,4.10,87.80,0.70,0,4.30,0.20,0.30,2.30
98092,4.30,82.60,1.80,4,3.30,0.20,0.20,3.20
98102,3.90,83,3.10,1,5.90,0.20,0.30,3
98103,4,83.40,2.20,1,5.90,0.20,0.30,3.10
98105,3.70,75.80,2,1,13.80,0.20,0.30,3.80
98106,11.10,44.20,11.70,2,22.80,1.90,0.40,6.40
98107,4.80,84.80,1.90,1,3.70,0.20,0.30,3.30
98108,12.20,23,14.50,1,42.80,1.40,0.30,4.80
98109,3.60,84.50,2.90,1,5.40,0.20,0.20,2.60
98110,2.20,91.70,0.30,1,2.30,0.10,0.20,2.60
98112,2.70,81.40,8.60,0,3.90,0.10,0.20,2.80
98115,3,82.70,1.80,0,8.40,0.20,0.30,3.20
98116,3.40,86.80,1.70,1,3.70,0.20,0.20,3.10
98117,3.60,86.10,1.30,1,4.80,0.10,0.30,2.80
98118,7.20,24.80,25.60,1,34,1.50,0.30,5.80
98119,3.10,86.80,2,1,4.40,0.20,0.20,2.80
98122,6.90,54.30,24.60,1,7.80,0.50,0.30,4.50
98125,5.80,68.20,4.90,1,15,0.30,0.40,4.60
98126,6.10,69.10,7.10,1,10.90,0.90,0.20,4.50
98133,5.20,70.40,4.10,1,14.50,0.30,0.20,4.20
98133,5.20,70.40,4.10,1,14.50,0.30,0.20,4.20
98134,10.40,47.50,18.10,5,11.60,0.20,5,2.20
98136,3.80,86,2.40,1,3.50,0.40,0.30,2.70
98144,8.80,32.80,21.40,1,30.30,0.50,0.30,5
98146,11.40,61,5.40,1,14.60,2.20,0.20,3.90
98146,11.40,61,5.40,1,14.60,2.20,0.20,3.90
98148,10.20,69.80,5.40,1,7.80,0.90,0.30,4.70
98148,10.20,69.80,5.40,1,7.80,0.90,0.30,4.70
98148,10.20,69.80,5.40,1,7.80,0.90,0.30,4.70
98155,3.50,77,2.70,1,11.70,0.30,0.20,3.90
98155,3.50,77,2.70,1,11.70,0.30,0.20,3.90
98166,7.50,81.40,3.20,1,3.80,0.50,0.10,2.60
98166,7.50,81.40,3.20,1,3.80,0.50,0.10,2.60
98168,13.70,58.70,7.60,1,11.70,1.80,0.30,5
98168,13.70,58.70,7.60,1,11.70,1.80,0.30,5
98168,13.70,58.70,7.60,1,11.70,1.80,0.30,5
98177,2.50,86.50,1.20,0,6.30,0.30,0.30,2.70
98177,2.50,86.50,1.20,0,6.30,0.30,0.30,2.70
98178,4.30,39.40,26,1,23.60,0.60,0.30,5.20
98188,11.70,56.80,10.80,1,11.70,2.20,0.40,5.30
98188,11.70,56.80,10.80,1,11.70,2.20,0.40,5.30
98198,8.80,67.40,8.10,1,8.40,1.70,0.10,4.40
98198,8.80,67.40,8.10,1,8.40,1.70,0.10,4.40
98199,3.30,85.50,1.60,1,5.80,0.30,0.20,2.80
98201,6.60,80.40,3.40,2,3.70,0.30,0.20,3.50
98203,4.80,83.40,2,1,5.60,0.20,0.10,2.80
98203,4.80,83.40,2,1,5.60,0.20,0.10,2.80
98204,11.10,69.80,4,1,9.10,0.40,0.20,4.20
98204,11.10,69.80,4,1,9.10,0.40,0.20,4.20
98208,4.90,80.20,2.60,1,7.50,0.40,0.20,3.40
98220,5.70,89.70,0,1,0.20,0,0.30,3.40
98221,2.70,92,0.30,1,1.50,0.10,0.10,2.20
98223,3.70,90.70,0.60,1,1.50,0.20,0.20,2.10
98225,4.40,86.50,0.80,2,3.70,0.20,0.30,2.50
98226,4.10,85,0.70,4,3.40,0.10,0.20,2.20
98226,4.10,85,0.70,4,3.40,0.10,0.20,2.20
98230,4.20,88.90,1,1,2.40,0.30,0.20,2.10
98232,6.30,89.80,0.10,1,1.70,0.30,0.10,1.10
98232,6.30,89.80,0.10,1,1.70,0.30,0.10,1.10
98233,16.40,78.60,0.50,1,1.60,0.30,0.10,1.70
98235,4.20,87.40,0,7,0,0,0,1.10
98237,2.20,93.50,0.20,1,0.60,0.10,0.10,2.20
98239,3.30,90.40,1.10,1,1.50,0.10,0.20,2.80
98240,6.90,88.60,0.60,1,1.30,0,0.40,1.30
98241,1.20,91,0.20,4,0.40,0,0.40,2.60
98244,2.50,86.90,0.50,5,0.80,0,0.20,3.90
98245,1.80,93.10,0.30,0,1.10,0.20,0.30,2.70
98247,10.30,83.40,0.20,3,0.90,0,0.20,1.70
98248,7.40,84.20,0.60,4,1.60,0.10,0.20,2.30
98250,2.80,93.70,0.30,1,0.90,0.10,0.10,1.30
98251,2.80,91.40,0.40,1,0.90,0.20,0.40,3
98252,4,91.10,0.30,1,0.70,0.20,0.10,2.20
98256,0.80,92.20,0,2,1.10,0,0,4.20
98257,3.70,76.80,0.30,17,0.60,0,0,1.90
98258,2.60,92.10,0.50,1,1.10,0.20,0.20,2.40
98260,1.80,93.90,0.30,1,1.30,0.20,0.10,1.80
98261,2.70,93.20,0.10,1,0.80,0,0,2
98262,0.70,95.30,0.50,1,0.50,0,0.20,2
98264,7.20,88.70,0.20,0,1.90,0,0.10,1.40
98270,4.60,86.40,0.90,1,3.80,0.30,0.10,2.60
98271,4.20,81.30,0.50,9,1.90,0.20,0.10,2.50
98272,7.30,85.60,1.90,1,1.70,0.20,0.20,2.20
98273,23.30,70.80,0.60,1,2.20,0.10,0.20,1.90
98273,23.30,70.80,0.60,1,2.20,0.10,0.20,1.90
98274,10.90,84.10,0.50,1,1.60,0.20,0.10,1.90
98275,3,80.60,1.60,1,10.80,0.30,0.30,2.80
98277,5.70,77.50,4,1,7,0.60,0.20,3.90
98280,3.40,94.20,0,1,0.50,0,0,1.10
98284,5.30,89.70,0.40,2,0.70,0.10,0.20,1.60
98286,0.40,94,0.40,2,0.40,0,0,3
98288,2.80,91.20,0.70,0,1.20,0,0.50,3.20
98290,2.80,93,0.30,1,1,0.10,0.10,2
98292,2.60,93.40,0.30,1,0.70,0.20,0.20,1.70
98294,3.80,90.20,0.30,2,1.20,0.10,0.20,2.70
98295,6,88.40,0.10,2,1.10,0.10,0.10,2.30
98296,3,89.60,0.50,1,3.90,0.10,0.10,2.30
98297,0,95.20,0,0,1,0,0,3.80
98303,8.70,72.20,14.30,2,0.70,0.20,0.10,1.70
98304,2.10,91.70,0.30,2,1.80,0,0.60,2
98310,4.50,76.60,5.10,1,5.90,1,0.20,5.50
98311,3.60,76.80,3.70,1,8.30,1.50,0.30,4.90
98311,3.60,76.80,3.70,1,8.30,1.50,0.30,4.90
98312,5.10,78.70,4.80,2,4.40,0.70,0.20,4.70
98312,5.10,78.70,4.80,2,4.40,0.70,0.20,4.70
98320,1.90,90.10,0.30,2,0.60,0.20,0.90,4.40
98321,2.50,92.40,0.60,1,0.90,0.20,0.10,2.30
98323,1.50,95.10,0,1,0.10,0,0.10,2.40
98325,1.90,90.50,0.10,1,1.10,0,0.70,4.70
98326,10.20,80.50,0.40,4,0.40,0.20,0.70,3.50
98327,4.70,75.60,5.90,1,7.70,0.40,0.50,4.60
98328,3.10,90.60,0.50,1,1.10,0.20,0.20,2.90
98329,2.20,91,0.60,1,1.10,0.30,0.30,3.60
98331,12.80,75.50,1.30,7,1.20,0.20,0,1.90
98332,2.80,90.20,1.90,1,1.70,0.20,0.20,2.10
98335,2.70,91.40,0.80,1,1.90,0.20,0.20,2.20
98337,9.90,67.80,9.50,2,4.60,0.80,0.60,4.90
98338,3.10,88.30,1.30,1,1.60,0.60,0.30,3.60
98339,2.60,88.80,0.20,2,1.50,0.10,0.10,4.30
98346,2.70,84.80,0.40,7,1.40,0.30,0.40,2.70
98349,2.90,91.80,0.40,1,0.80,0,0.30,2.40
98350,5.40,10.50,0.50,79,0,0,0,4.90
98354,3.50,88.40,1.10,1,2.80,0.30,0.20,2.90
98356,1.10,95.20,0.20,1,0.80,0.20,0,1.60
98357,6.50,12.50,0.20,76,0.10,0,0.10,4.90
98359,3,90.40,0.70,1,0.90,0.10,0.30,3.20
98360,3.10,91.40,0.50,1,0.90,0.30,0.30,2.50
