ZipCode,Under10K,10K-15K,Mgt/Professional,15K-25K,Service,25K-35K,Sales/Office,35K-50K,Farm/Fishing/Forestry,50K-75K,Construction/Extraction/Maint.,75K-100K,Production/Transportation,100K-150K,150K-200K,Unemployed,200K+,InPoverty,MedianIncome
98001,5.30,2.90,29.60,6.40,14.20,8.40,27.40,14.90,0.10,26.50,11.20,20.20,17.50,11.80,2.60,3.30,1.20,6.60,60534
98002,9.40,7.90,22.40,15.50,17.70,14.50,28,19.30,0.10,19.30,12.90,9.50,18.90,3.60,0.40,4.10,0.60,14.10,36991
98003,8.30,4.50,29.90,12.60,15.60,14.20,30.90,19,0.10,21.80,9.70,9.80,13.80,6.40,2,3.90,1.40,11.80,43027
98004,4.50,3.10,54.40,7.90,9.50,8.70,28.70,15.30,0.10,18.10,3.50,12.30,3.80,13.30,6,1.70,10.70,4.90,63358
98005,5.10,2.90,56,7.10,10.80,9.20,23.90,15.80,0,21.40,4.20,14.70,5.20,12.60,5.40,2.70,5.90,6.40,60173
98006,1.90,1.60,58.90,4.30,7.40,5.20,25.40,11.70,0.10,20.20,2.80,15.60,5.40,20.90,8.60,2.30,10,3.20,81929
98007,6.30,5.40,48.60,10.50,12.20,11.30,26.40,18.10,0.20,21.20,4.50,12.50,8.20,9.30,2.60,3.50,2.80,9.20,48606
98008,3.30,3.50,47,5.60,11.90,7.90,26.30,14.70,0.20,21.40,5.90,16.10,8.80,17.30,4.70,3.30,5.40,4.70,67391
98010,4.80,3.30,29.20,9.60,14.10,4.50,21.70,11.60,0.30,25.80,17.30,19.80,17.40,14.80,3.10,1.60,2.60,1.90,66709
98011,3.80,3,42.80,7.40,12.10,10.90,28.70,14.30,0.40,23.70,7.30,17.40,8.70,14.60,2.80,2.70,2.10,5.40,61329
98012,2.30,1.70,43.80,6.60,11.70,8.80,28.30,13.10,0.20,26.80,8,18.40,8,16.10,3.20,2.80,3.10,3.80,65730
98012,2.30,1.70,43.80,6.60,11.70,8.80,28.30,13.10,0.20,26.80,8,18.40,8,16.10,3.20,2.80,3.10,3.80,65730
98012,2.30,1.70,43.80,6.60,11.70,8.80,28.30,13.10,0.20,26.80,8,18.40,8,16.10,3.20,2.80,3.10,3.80,65730
98014,2.80,2.40,40.10,5.60,11.90,8.40,22.20,12.60,1.30,23.20,15,15.80,9.50,18.20,3.40,2.60,7.50,4.10,66841
98019,1.50,2.60,44.90,4.70,11.20,7.20,24.90,14.20,0.70,21.50,9.20,20.70,9.10,18.40,5.20,1.70,4,3.10,72438
98020,3.50,4.40,44.70,8.90,9.70,9.60,30,15.60,0.60,20.70,6.90,13.60,8,13.90,4.10,2.20,5.70,3.50,56653
98021,4,2.20,43.20,7.30,9.90,9.50,28.50,13.20,0.30,24.70,8.90,19,9.10,15.90,2.50,2.20,1.80,3.80,63630
98022,7.20,4.90,30.30,8.70,15.10,9.60,24.80,14.80,2,26,12,14,15.80,10.90,2.80,3.90,1.30,6.40,54118
98023,4,2.60,34.20,8,13,9.20,32.10,16.70,0.20,26.80,8.20,16,12.30,11.80,2.70,3.30,2.30,6.40,57411
