ZipCode,Latitude,Longitude,Population,PeoplePerSquareMile,HousingUnits,LandAreaInSqMi,WaterAreaInSqMi
98002,47.304221,-122.216029,30815,4050.51,13082,7.61,0.01
98003,47.311072,-122.311882,42255,3523.09,17542,11.99,0.08
98004,47.618371,-122.203083,22650,3053.42,11671,7.42,0
98005,47.611021,-122.168582,17089,2115.38,7954,8.08,0.01
98006,47.562975,-122.152604,35332,3257.91,13391,10.84,0
98007,47.610935,-122.141047,23048,5283.47,10758,4.36,0.01
98008,47.609222,-122.115509,23522,4331.58,9348,5.43,0.09
98010,47.317802,-122.014793,4426,246.59,1715,17.95,0.62
98011,47.751471,-122.202571,26380,3249.66,10790,8.12,0
98012,47.84311,-122.204579,38397,2467.16,14819,15.56,0
98012,47.84311,-122.204579,38397,2467.16,14819,15.56,0
98012,47.84311,-122.204579,38397,2467.16,14819,15.56,0
98014,47.648232,-121.91265,6894,144.29,2480,47.78,0.46
98019,47.7353,-121.96222,8193,248.64,2949,32.95,0.18
98020,47.803668,-122.370967,18141,3447.33,8257,5.26,0
98021,47.790653,-122.22021,20391,2039.89,7732,10,0
98022,47.193729,-121.919151,21661,184.26,8375,117.55,0.2
98023,47.309021,-122.361783,47572,4643.84,17529,10.24,0.04
98024,47.565642,-121.886381,4787,137.33,1782,34.86,0.26
98026,47.821568,-122.336517,34456,3911.14,13912,8.81,0.17
98027,47.522828,-122.02921,22219,421.35,9166,52.73,0.04
98028,47.75287,-122.24736,18165,3312.17,7379,5.48,0
98029,47.572401,-122.020654,28427,1164.38,10511,24.41,0.27
98031,47.388461,-122.196446,64214,4121.03,23865,15.58,0.05
98032,47.388254,-122.259326,28778,1728.76,13085,16.65,0.02
98033,47.67903,-122.193409,30393,3750.8,14408,8.1,0
98034,47.71828,-122.197026,40380,4095.69,16943,9.86,0.01
98036,47.808816,-122.283942,33705,3418.26,13006,9.86,0.02
98036,47.808816,-122.283942,33705,3418.26,13006,9.86,0.02
98037,47.848237,-122.283485,44026,3776.74,17974,11.66,0.17
98038,47.381989,-122.035536,22590,690.1,7917,32.73,0.3
98039,47.626571,-122.232805,3050,2072.2,1181,1.47,0
98040,47.569271,-122.232337,22036,3452.05,8806,6.38,0
98042,47.363382,-122.114513,38023,1238.63,13069,30.7,0.48
98042,47.363382,-122.114513,38023,1238.63,13069,30.7,0.48
98043,47.790969,-122.305392,20333,5109.28,8206,3.98,0
98045,47.483057,-121.732542,13717,67.36,5411,203.64,2.28
98047,47.26619,-122.244635,5174,1996.32,1950,2.59,0
98051,47.359414,-121.88657,2881,56.42,1103,51.07,0.08
98052,47.677471,-122.121383,50249,2673.24,21856,18.8,0.01
98053,47.640972,-122.033189,31203,964.31,10646,32.36,0.15
98055,47.467422,-122.210057,26953,2373.1,12370,11.36,0.01
98056,47.510739,-122.183722,24261,3839.21,10710,6.32,0
98056,47.510739,-122.183722,24261,3839.21,10710,6.32,0
98058,47.448322,-122.14584,37481,1817.71,13859,20.62,1.37
98059,47.493031,-122.141695,27993,1104,10991,25.36,0.1
98059,47.493031,-122.141695,27993,1104,10991,25.36,0.1
98065,47.530639,-121.830531,3822,179.94,1476,21.24,0.12
98070,47.416198,-122.468211,10123,273.85,4867,36.97,0
98072,47.758786,-122.102053,35196,874.82,12193,40.23,0.26
98092,47.297285,-122.16328,25470,652.89,8955,39.01,0.08
