ZipCode,Education-LessThan9thGrade,NeverMarried,Education-HighSchoolDropout,Married,Education-HighSchoolGrad,Separated,Education-SomeCollege,Widowed,Education-AssociatesDegree,Divorced,Education-BachelorsDegree,Education-Graduate/Professional,LivedInSameHomeForOver5Years,Education-HighSchoolOrHigher,Education-BachelorsOrHigher
98001,2.80,22.70,8,60.70,29.30,1.40,29,4.20,9.40,11,16.30,5.20,59,89.20,21.50
98002,5,27.30,13.70,48.10,34.20,2.50,26.60,5.80,7.50,16.30,9,3.90,38,81.30,13
98003,3.20,30.30,9,50.20,28.30,1.60,27.20,5.30,9.40,12.60,16.40,6.50,40.40,87.80,22.80
98004,1.40,23.10,2.90,56.30,10.60,1.30,20.20,7.40,7.20,11.90,37,20.80,47.50,95.70,57.70
98005,2.50,27.50,2.80,56,12.40,1.10,20.60,4.60,6,10.80,34,21.80,42.90,94.70,55.80
98006,0.90,20.90,2,67.60,10.60,0.50,19.50,2.80,6.20,8.20,38.20,22.50,55,97.10,60.70
98007,3.40,32.80,4.70,50.60,16.80,1.30,19.80,4.50,7.30,10.80,30.70,17.30,35.80,91.90,48
98008,2.70,22.20,5.10,61.60,14.90,1.10,22.50,6.10,8.10,9,31.60,15.10,56.40,92.20,46.70
98010,4,19.90,7.80,68.50,27.70,0.10,30.90,2.50,7.70,9.10,14.90,7,46.90,88.30,21.90
98011,1.40,28.20,4.30,54,20.10,1.50,25.20,4.30,8.90,12,29.30,10.80,50.60,94.40,40.10
98012,1.20,22.80,5.10,62.70,18.80,1.30,26.10,4.10,11,9.10,26.60,11.30,44.20,93.70,37.80
98012,1.20,22.80,5.10,62.70,18.80,1.30,26.10,4.10,11,9.10,26.60,11.30,44.20,93.70,37.80
98012,1.20,22.80,5.10,62.70,18.80,1.30,26.10,4.10,11,9.10,26.60,11.30,44.20,93.70,37.80
98014,1.80,20.80,6.50,65.70,19.50,0.90,30,2,9.40,10.50,25.90,6.90,55.10,91.80,32.80
98019,0.20,17.90,3.80,70,22.80,0.90,26.80,1.20,8.80,10.10,28.90,8.80,55.20,95.90,37.60
98020,1.20,20.40,4.20,57.30,18.40,0.90,27.90,9.80,7.50,11.70,26.50,14.40,60,94.60,40.90
98021,1,21.90,5,62.70,21.40,0.50,26.40,4.50,9.40,10.50,28.60,8.20,62,94,36.80
98022,3,22.50,7.90,60.10,33.80,0.70,29.10,6.50,7.60,10.10,13.40,5.20,56.50,89.10,18.60
98023,2.90,25.90,5.90,58.60,22.20,1.10,29.40,3.40,10,11.10,21.60,7.90,45.60,91.10,29.50
98024,2.30,20.80,10.60,64.40,22.20,0.60,26.70,3.90,6.30,10.30,23.40,8.50,63.80,87,31.90
98026,0.70,23.50,6,58.90,21.90,1.40,28,4.80,8.50,11.30,24.40,10.60,52.20,93.20,34.90
98027,1,24,2.70,60.20,16,1.10,21.80,4.30,7.80,10.30,34.60,16,51.40,96.30,50.60
98028,2,25.30,5.10,57.30,16.10,1.10,26.30,5.20,9,11.10,27.30,14.10,55.50,92.90,41.40
98029,0.30,15.40,2,73.60,10.90,0.70,18.90,4.40,8,6,37.80,22,45.20,97.60,59.80
98031,4.50,27.50,8.10,56,25.80,1.50,27.30,3.80,9.50,11.20,18.80,6,42.90,87.40,24.80
98032,5.10,30.50,10,45.20,27.80,2.40,26.60,5.10,8.20,16.90,15.80,6.40,33.80,84.90,22.20
98033,0.90,29.70,3.40,51.80,14.30,1.30,23,3.70,6.80,13.50,35.60,15.90,46.50,95.60,51.50
98034,1.50,29.20,3.80,52.20,17.80,1.70,27.50,4.30,8.60,12.70,28.60,12.30,50.30,94.70,40.80
98036,3.80,27.10,8.20,55.70,24.60,1.10,29.70,5.10,8.60,11,18.20,6.90,49.90,88,25.10
98036,3.80,27.10,8.20,55.70,24.60,1.10,29.70,5.10,8.60,11,18.20,6.90,49.90,88,25.10
98037,2.60,27.70,8.10,53.70,25.10,1.20,30.80,4.10,8.70,13.30,18,6.70,41,89.30,24.70
98038,1.70,18.10,5.20,69.80,21.10,1.10,31,2.70,9.70,8.30,23.90,7.50,58.60,93.10,31.40
98039,0.20,12.90,1,77.40,7,0.10,15.70,4.10,3.10,5.50,43.20,29.80,65,98.80,73
98040,0.90,17.60,1.30,67.90,8.50,0.80,16.10,5.90,4.10,7.80,37.50,31.60,60.10,97.70,69.10
98042,1.70,21.60,6.40,65.30,26.50,1,29.20,3.50,8.70,8.50,20.30,7.30,57.40,91.90,27.60
98042,1.70,21.60,6.40,65.30,26.50,1,29.20,3.50,8.70,8.50,20.30,7.30,57.40,91.90,27.60
98043,2.60,30,6.90,49.10,25.10,1.50,30.90,5,10.10,14.30,18.90,5.50,48.40,90.50,24.40
98045,1.90,21,6.70,62.70,22.50,1.10,29.10,5.10,6.80,10.20,23.30,9.70,48.90,91.40,33
98047,4,29.70,11,49.80,40,1.30,28.30,1.60,8.50,17.50,6.10,2,41.90,85,8.20
98051,2.40,22.50,12.40,65.90,37,1.40,22.60,3.20,11.10,6.90,11.90,2.70,59.10,85.30,14.60
98052,2,27.20,3.30,57,11.20,1.30,22.40,4.10,7.60,10.40,36.60,16.80,42,94.70,53.40
98053,0.50,20.10,2.20,71.70,10.90,0.70,21.30,1.60,7.30,5.90,40.10,17.70,50.20,97.30,57.80
98055,6.30,30.60,7.80,46.40,26.60,2.20,27.20,5.70,8.10,15.10,18.70,5.30,42.60,85.90,24
98056,4,27.80,6.60,53.10,23.20,1.80,25.70,5.40,7.70,12,25.40,7.50,45,89.50,32.90
98056,4,27.80,6.60,53.10,23.20,1.80,25.70,5.40,7.70,12,25.40,7.50,45,89.50,32.90
