ZipCode,City,State,MedianIncome,MedianIncomeRank,CostOfLivingIndex,CostOfLivingRank,MedianMortgageToIncomeRatio,MedianMortgageToIncomeRank,OwnerOccupiedHomesPercent,OwnerOccupiedHomesRank,MedianRoomsInHome,MedianRoomsInHomeRank,CollegeDegreePercent,CollegeDegreeRank,ProfessionalPercent,ProfessionalRank,Population,PopulationRank,AverageHouseholdSize,AverageHouseholdSizeRank,MedianAge,MedianAgeRank,MaleToFemaleRatio,MaleToFemaleRank,MarriedPercent,MarriedRank,DivorcedPercent,DivorcedRank,WhitePercent,WhiteRank,BlackPercent,BlackRank,AsianPercent,AsianRank,HispanicEthnicityPercent,HispanicEthnicityRank
98402,Tacoma,WA,15847,0,130.9,67,22.9,74,6.2,0,2.1,0,15.2,47,31.9,65,4939,38,2.1,3,37.4,53,138.8,98,30.7,1,20.8,99,65.8,21,14.3,81,4.5,90,7.1,76
98851,Soap Lake,WA,25393,7,91.1,41,22.4,68,68.2,25,4.8,11,11.5,29,19.8,12,3785,30,2.4,21,42.1,89,95.3,66,57.6,31,14.9,96,87.7,47,0,1,0.2,31,8.6,79
98932,Granger,WA,25833,8,95.9,46,25.3,91,68.5,26,4.7,9,5.4,2,19.8,12,4046,32,3.9,98,23.7,0,103.9,90,61,48,5.3,4,24.3,5,0,0,0,0,72.2,98
98640,Ocean Park,WA,26721,9,108.9,56,23.6,80,80.5,64,4.8,11,16.1,51,19.7,12,3768,30,2,1,55.6,99,90.8,42,63.9,66,14.3,95,93.1,61,0.1,18,0.5,50,3.6,63
98812,Brewster,WA,26625,9,106.6,55,24.2,85,56.3,12,4.8,11,8.4,13,17.8,7,5310,40,3.1,92,29.2,5,96.2,70,62,54,7.3,20,50.8,13,0.2,22,0.3,40,42.9,95
98844,Oroville,WA,26476,9,97.7,47,19.6,28,65,20,4.9,13,12.1,32,26.4,43,4493,35,2.5,36,39.5,74,98.1,77,58,33,13.7,93,81.5,36,0.4,31,0.1,26,12.5,84
98813,Bridgeport,WA,26833,10,63.9,16,22.1,64,61.8,17,4.3,4,7.6,9,19.6,12,2451,17,3.2,94,27.2,3,102.1,87,62.1,55,5.9,8,37,8,0.2,22,0,8,60.6,97
98901,Yakima,WA,27878,12,107.9,56,22.6,71,56.6,12,4.5,6,11,26,21.8,20,28799,85,3.1,93,29.6,6,105.4,92,54.4,21,9.5,51,50.1,12,2.3,56,0.2,35,43,95
98320,Brinnon,WA,28167,13,117.8,61,25.5,91,88.4,91,4.2,4,17,54,21.2,18,1194,0,2,1,53.1,99,102.9,89,63.2,62,15.9,98,90.5,53,0.1,17,0.5,50,1,32
98337,Bremerton,WA,27988,13,96.2,46,23,75,39.3,4,4.3,4,14.7,45,21.8,20,8524,52,2.9,85,26.1,2,132.4,98,33.6,1,15.1,97,65.7,21,9.4,76,4.7,90,10.1,81
98855,Tonasket,WA,27994,13,91.8,42,21.3,53,71.6,33,4.8,11,12.9,36,28.7,53,5317,40,2.5,37,41.3,86,100.3,84,60.7,46,12.5,87,82.1,37,0.1,17,0,7,13.5,85
98948,Toppenish,WA,28218,13,94.5,45,24,84,63.5,18,4.4,5,7.4,8,20.8,16,13247,63,3.6,97,26.1,2,101.3,86,57.3,30,8,28,21.2,4,0.5,34,0,11,61.2,97
98225,Bellingham,WA,29056,16,155,76,24,83,41.6,5,4.4,5,32.9,83,31.8,65,42629,94,2.3,16,28.8,4,97.8,76,39.2,3,10.7,68,86.5,44,0.7,39,3.6,87,4.3,68
98624,Ilwaco,WA,29716,18,132.4,68,27.4,96,69.9,28,5.3,35,26,75,32.3,67,1304,0,2.3,8,44,94,82.8,9,62.1,54,11,73,88.6,48,0,2,0.2,31,6.9,76
98840,Okanogan,WA,30307,19,97.3,47,20.9,48,67.3,24,5,17,17.5,56,35.8,75,4765,37,2.6,53,38.6,66,93.7,58,56.4,27,12.6,87,78.4,32,0.1,17,0,7,11.6,83
98926,Ellensburg,WA,30198,19,148.6,74,21.5,56,51.8,9,4.8,10,30.9,81,32.9,68,24857,80,2.5,43,27.2,3,96.9,73,46.8,8,8.3,33,88.3,48,0.9,43,2,78,5.6,72
98586,South Bend,WA,30357,20,87.4,38,23,75,70.3,29,5.3,35,17,54,29.1,55,2285,15,2.5,32,40.9,84,92.3,50,59.9,42,10.8,70,78.9,33,0.1,17,3.5,87,9.1,80
98841,Omak,WA,30492,20,91.6,42,22.6,70,68,25,5.2,27,15.5,48,28.2,51,9035,53,2.6,55,35.2,30,91.3,45,57,29,11.2,75,64.5,20,0.1,17,1.2,69,11.4,83
98856,Twisp,WA,30504,20,144.5,72,26.4,94,68,25,4.6,8,26.1,75,40.2,83,2181,14,2.2,5,44.6,95,93.5,57,60.1,43,14.2,95,93.7,63,0,3,0.6,54,2.3,53
98951,Wapato,WA,30417,20,97.3,47,27.1,96,58.9,14,4.9,13,9.7,19,20.7,15,13634,64,3.7,98,26.2,2,97.1,73,54.7,22,7,16,21,4,0.3,27,3.3,86,52.4,97
98405,Tacoma,WA,30585,21,117.5,61,26.3,94,44.9,6,4.6,7,15.5,48,25.7,39,22362,77,2.5,43,33.5,18,88.4,29,41.6,4,15.2,97,56.4,16,21.5,86,7.3,94,5.9,73
98660,Vancouver,WA,30585,21,138,70,24.3,86,46.5,6,4.8,10,18.1,58,28.2,51,10118,56,2.4,24,35.5,33,108.8,94,42.8,5,21,99,85.4,42,1.7,52,1.5,74,5.8,73
98902,Yakima,WA,30694,21,108.3,56,23.4,79,54,10,4.8,10,16.2,51,26.5,43,42803,95,2.5,45,31.7,11,86.1,19,53.5,19,12.8,89,65.1,21,1.1,45,0.9,64,28.8,93
