HighSchool	AICode	NumberOfTestTakers	SATCriticalReadingMean	SATMathMean	SATWritingMean	SATIINumberOfTestTakers SATIITotalTestsTaken	APNumberOfTestTakers APTotalTestsTaken APNumberOfHighScores	PSATSophomoreNumberOfTestTakers	PSATSophomoreCriticalReadingMean	PSATSophomoreMathMean	PSATSophomoreWritingSkillsMean	PSATJuniorNumberOfTestTakers PSATJuniorCriticalReadingMean	PSATJuniorMathMean	PSATJuniorWritingSkillsMean
A. C. Davis Senior High School	481601	148	456	460	441	10	31	0	0	0	28	50.6	51.9	45.7	129	41.2	44.7	38.6
A.G. West/Black Hills High School	480826	102	523	541	518	4	10	202	318	134	24	48.7	50.9	47.3	79	50.1	50.4	48.5
A01 High School	481351	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Academy of Citizenship and Empowerment at Tyee Educ	481159	32	344	367	345	0	0	9	9	1	0	0	0	0	56	33.2	35.7	34.3
Aces High School	480384	10	346	346	349	0	0	0	0	0	0	0	0	0	0	0	0	0
Adna Middle/High School	480015	10	468	470	450	0	0	0	0	0	0	0	0	0	11	48.3	48.2	45.7
Almira0Coulee0Hartline High School	480020	11	445	450	442	0	0	14	15	4	0	0	0	0	21	42.2	44.3	37.8
Anacortes High School	480025	114	536	528	521	9	22	152	252	152	31	46.8	47.8	46.7	172	49.1	48.3	46.3
Arlington High School	480035	132	528	531	512	3	5	118	184	129	12	49.3	49.4	50.2	60	54.4	53.2	51.4
Arts and Academics Academy	481139	25	392	388	387	0	0	20	28	7	0	0	0	0	39	40.1	37.7	36.2
Asotin High School	480040	17	476	500	454	0	0	0	0	0	7	40.0	47.7	42.9	13	47.2	48.5	46.2
Auburn High School	480055	134	503	510	482	2	6	123	190	92	68	47.6	47.9	46.7	71	48.4	49.1	46.9
Auburn Mountainview High School	480044	121	533	537	511	6	13	202	291	190	49	49.1	52.0	47.5	102	49.3	52.7	48.2
Auburn Riverside High School	480046	193	514	528	500	8	22	289	411	219	54	48.9	50.1	46.6	86	50.4	52.4	48.3
Avanti High School	480827	3	0	0	0	0	0	3	3	0	0	0	0	0	8	57.3	53.0	51.8
Aviation High School	481071	71	586	590	568	13	31	118	246	151	4	0	0	0	93	52.7	53.8	48.5
B.E.S.T Alternative High School	480542	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bainbridge High School	481580	270	596	598	585	99	236	340	652	504	53	54.2	57.5	51.5	209	56.9	57.0	54.2
Ballard High School	481045	199	556	545	534	18	44	278	419	260	339	46.8	46.3	43.8	329	48.6	47.6	46.4
Barker High School	480451	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Battle Ground High School	480060	116	532	526	497	1	3	82	115	82	38	46.8	50.9	45.3	86	48.3	51.0	46.0
Bayview School	480591	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bellevue Senior High School	480070	282	539	587	546	125	326	611	1294	747	74	50.7	54.7	48.9	312	49.2	51.6	47.3
Bellingham High School	480094	116	558	565	540	12	26	178	328	248	45	51.8	52.4	49.8	113	52.5	54.7	50.8
Bethel High School	481225	113	495	484	466	3	8	95	167	55	59	48.2	47.4	47.1	52	45.5	49.3	45.1
Bickleton High School	480090	8	465	536	429	0	0	8	12	5	2	0	0	0	6	39.5	49.8	40.0
Big Picture High School	480134	11	425	387	389	0	0	0	0	0	0	0	0	0	10	39.7	37.0	36.7
Black River High School	481138	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blaine High School	480095	54	566	544	524	3	9	108	184	105	10	54.7	57.0	49.8	78	50.4	50.8	46.0
Bonney Lake High School	480111	123	508	526	486	4	9	131	334	160	67	48.2	48.7	45.5	70	48.3	47.2	46.5
Bothell Senior High School	480100	257	532	556	520	19	43	161	231	191	4	0	0	0	273	51.0	54.3	49.0
Bremerton High School	480103	77	488	502	458	8	18	154	222	102	48	45.3	47.8	42.4	218	42.7	41.1	39.3
Brewster High School	480110	20	403	413	397	0	0	10	10	1	0	0	0	0	62	37.5	37.9	37.1
Bridgeport High School	480115	17	399	432	421	0	0	73	110	29	35	36.3	39.8	35.4	46	36.3	37.4	36.4
Burlington0Edison High School	480130	104	525	551	508	7	17	113	171	121	116	45.7	45.7	43.8	114	46.6	49.0	45.5
Cam High School	480056	28	588	546	569	1	3	0	0	0	23	54.9	50.3	52.9	19	59.3	53.1	57.6
Camas High School	480140	171	544	558	525	15	34	298	512	412	47	55.7	57.0	52.8	125	54.0	55.4	51.4
Capital High School	480829	200	545	553	531	23	55	1	7	0	43	52.7	52.0	51.2	136	55.4	56.0	52.0
Cascade High School	480605	42	555	525	523	3	8	7	7	0	2	0	0	0	28	49.9	47.3	46.6
Cascade Senior High School	480383	116	505	521	485	7	18	187	251	139	37	48.4	49.2	45.8	121	47.9	49.3	45.7
Cashmere High School	480155	44	463	475	452	1	3	1	1	0	3	0	0	0	21	44.3	45.3	41.3
Castle Rock High School	480160	34	493	499	465	0	0	19	23	5	33	39.8	41.3	38.9	28	43.7	44.0	43.5
Cedarcrest High School	480145	116	540	531	504	7	19	55	68	56	18	56.3	54.3	53.6	90	51.3	53.9	49.6
Center School	481060	34	580	514	521	2	4	23	37	22	60	51.2	45.3	46.4	52	50.9	43.8	46.6
Central Kitsap Alternative High School	481194	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Central Kitsap High School	481195	213	553	566	525	37	89	482	1103	840	110	52.8	55.2	49.1	189	52.7	55.4	50.7
Central Valley High School	481483	171	539	546	521	9	18	216	409	314	69	53.4	55.6	52.3	183	52.3	53.1	50.0
Centralia High School	480170	50	541	517	511	3	8	23	26	13	4	0	0	0	32	49.2	49.1	44.6
Challenger High School	481224	6	475	430	448	0	0	0	0	0	0	0	0	0	0	0	0	0
Charles A. Lindbergh High School	480985	108	501	511	480	7	20	146	212	139	18	52.2	54.8	48.1	46	53.1	55.3	51.2
Charles F Adams High School	480205	74	503	508	464	1	3	19	20	12	152	41.7	42.5	38.0	66	47.0	51.0	44.3
Chelan High School	480180	46	497	501	478	0	0	43	45	24	3	0	0	0	29	49.3	51.6	44.7
Cheney High School	480185	95	516	530	500	1	3	46	62	48	78	48.3	50.9	45.7	54	50.1	51.1	49.6
Chief Sealth High School	481161	84	478	482	455	12	30	0	0	0	138	42.3	44.1	40.3	143	42.0	42.8	39.8
Chimacum High School	480195	38	543	538	510	2	6	25	30	26	6	51.5	49.2	52.3	18	50.8	50.2	47.2
Clallam Bay High School	480200	6	487	525	498	0	0	0	0	0	0	0	0	0	1	0	0	0
Cle Elum0Roslyn High School	480210	29	462	440	437	1	3	1	2	0	11	43.1	43.9	42.5	18	46.1	44.5	43.9
Cleveland High School	481055	46	404	427	403	1	3	37	58	10	172	34.6	36.1	33.7	127	35.4	37.8	34.9
Clover Park High School	481370	87	439	441	407	4	10	116	222	22	233	36.4	36.5	34.5	43	38.8	42.3	37.5
Colfax High School	480215	28	461	496	468	0	0	15	15	9	17	40.8	45.3	38.5	34	48.1	46.4	45.5
Collins High School	480123	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Colton High School	480225	13	492	567	485	1	2	0	0	0	15	43.7	47.8	42.9	12	42.9	47.3	43.4
Columbia High School	480128	17	469	485	463	0	0	0	0	0	2	0	0	0	3	0	0	0
Columbia High School	480480	8	481	499	449	0	0	0	0	0	0	0	0	0	17	42.9	40.2	41.6
Columbia High School	481540	27	500	503	486	0	0	12	13	9	27	48.3	46.6	44.6	24	52.1	54.9	52.2
Columbia River High School	481460	156	542	546	530	14	39	35	55	39	58	55.2	54.4	51.6	117	54.1	54.9	51.6
Colville High School	480235	62	552	532	516	2	4	0	0	0	3	0	0	0	24	55.5	55.0	52.9
Compass High School	480441	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Concrete High School	480240	8	535	530	514	0	0	1	1	0	8	48.5	44.4	46.5	13	48.7	46.4	44.3
Connell High School	480245	36	451	470	432	3	9	46	84	14	125	35.4	40.2	36.3	19	41.5	47.8	43.4
Contract Based Education	481236	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coupeville High School	480260	47	543	541	527	7	19	12	15	8	9	50.1	49.4	45.1	40	50.5	52.4	46.8
Crescent High School	480505	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Creston High School	480270	6	462	497	455	0	0	0	0	0	11	44.3	43.8	42.7	9	42.4	40.6	40.1
Curlew High School	480275	11	545	485	501	0	0	30	37	13	13	43.9	46.5	44.5	16	44.3	41.6	41.8
Curtis Senior High School	481382	190	537	543	520	15	37	285	506	326	39	50.9	50.2	49.0	85	51.0	51.7	49.0
Cusick High School	480280	11	462	447	408	0	0	14	15	3	13	43.1	40.9	37.1	17	48.1	48.4	47.9
Darrington High School	480285	5	484	458	412	0	0	9	11	5	2	0	0	0	11	51.7	54.6	46.7
Davenport High School	480290	34	500	496	465	0	0	14	20	5	16	42.4	45.3	42.1	22	46.8	45.4	46.0
Dayton High School	480295	19	508	493	483	0	0	9	14	3	31	40.1	44.2	37.7	33	43.1	45.2	41.3
Decatur High School	480395	135	514	542	506	20	52	305	483	148	42	47.4	47.5	45.3	207	45.4	47.5	44.1
Deer Park High School	480300	45	511	517	489	0	0	0	0	0	0	0	0	0	19	44.4	48.7	43.4
Dwight D. Eisenhower High School	481603	120	476	475	460	4	11	96	163	67	15	44.8	48.3	45.5	125	43.9	45.6	43.4
E B Walker High School	480936	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Eagle Harbor High School	480096	8	625	584	598	2	2	17	25	16	7	58.7	56.7	56.0	3	0	0	0
East Valley High School	480760	60	463	466	444	0	0	41	47	4	0	0	0	0	69	44.3	44.3	42.6
East Valley High School	481238	67	488	502	459	1	2	139	182	54	31	48.3	47.2	45.5	23	52.7	52.1	50.2
Eastlake High School	480548	300	549	559	548	55	129	193	270	229	23	52.6	52.7	51.9	379	52.3	52.6	50.1
Eastmont High School	480332	128	508	505	479	8	23	72	106	55	48	45.5	49.2	43.4	97	45.1	46.8	42.0
Easton High School	480315	1	0	0	0	0	0	0	0	0	5	27.8	33.0	34.2	0	0	0	0
Eatonville High School	480335	51	496	491	479	0	0	34	42	17	17	49.1	48.1	43.6	43	51.9	48.0	48.6
Edmonds Homeschool Resource Center	480657	8	583	549	541	0	0	5	5	3	2	0	0	0	2	0	0	0
Edmonds0Woodway High School	480344	231	540	545	537	50	119	102	108	62	57	54.0	55.4	52.8	187	54.7	55.7	51.9
Ellensburg High School	480350	86	532	532	514	5	13	82	117	83	19	58.5	53.4	52.6	75	48.7	48.7	46.6
Elma High School	480355	38	497	516	460	0	0	3	3	0	20	48.8	47.5	45.5	25	48.2	50.0	47.0
Emerald Ridge High School	481222	217	516	525	497	11	27	449	757	344	42	46.6	46.8	43.0	135	49.1	49.2	47.1
Entiat High School	480370	9	463	443	436	1	2	2	2	0	5	49.8	41.8	41.2	30	39.4	38.0	38.0
Enumclaw High School	480375	142	509	513	481	2	5	142	208	81	6	55.5	48.3	50.2	97	49.2	49.6	46.4
Ephrata Senior High School	480380	57	506	505	481	1	2	1	1	0	43	42.9	43.9	41.6	65	48.1	47.8	44.9
Everett Alternative High School	480390	1	0	0	0	0	0	2	3	0	0	0	0	0	2	0	0	0
Everett High School	480385	106	543	535	514	7	16	63	83	48	27	52.5	49.7	48.9	100	49.0	48.9	46.5
Evergreen High School	481465	105	495	505	480	0	0	145	230	127	12	47.8	47.5	43.7	29	47.7	47.7	46.8
Family Learning Center	480982	11	628	571	605	4	8	0	0	0	0	0	0	0	0	0	0	0
Federal Way High School	480397	136	472	482	454	10	23	221	324	51	19	50.9	49.4	49.5	240	42.7	43.7	40.6
Federal Way Public Academy	480406	1	0	0	0	0	0	0	0	0	32	54.3	54.6	49.8	0	0	0	0
Ferndale High School	480400	127	527	548	512	16	40	87	160	110	51	50.1	51.8	49.4	85	51.2	52.4	48.8
Fife Senior High School	481375	90	501	514	477	3	7	58	79	37	19	51.7	50.1	50.5	26	50.4	52.4	48.7
Forks High School	480405	19	503	502	494	1	3	16	16	3	17	49.5	48.4	45.7	14	44.6	44.7	43.4
Fort Vancouver High School	481470	76	473	465	454	4	11	53	85	33	37	41.2	40.6	38.8	67	42.4	43.2	41.1
Foster High School	481075	77	434	468	424	3	6	68	95	12	146	35.4	36.6	34.4	143	35.3	37.9	34.7
Franklin High School	481080	118	458	473	443	13	28	132	145	44	294	36.6	38.9	35.5	257	37.8	39.8	36.4
Franklin Pierce High School	481380	96	498	504	482	8	18	127	187	63	51	45.0	49.4	43.3	67	44.7	45.1	41.4
Freeman High School	480408	34	498	516	468	1	2	43	57	43	12	47.5	49.8	45.6	27	52.2	53.6	50.7
Friday Harbor High School	480410	61	537	527	513	12	25	105	168	105	50	44.6	46.4	42.4	56	49.2	53.6	48.4
Garfield High School	481115	271	592	587	577	137	353	568	1022	783	362	50.0	49.7	47.4	368	52.8	52.9	50.4
Garfield0Palouse High School	480870	24	495	483	483	0	0	0	0	0	16	46.7	45.7	45.3	21	51.7	50.0	49.0
Gates High School	481381	6	417	430	432	0	0	0	0	0	0	0	0	0	0	0	0	0
Gig Harbor High School	480421	223	535	532	516	20	47	218	346	209	14	55.8	52.0	54.7	152	53.8	52.0	51.4
Glacier Peak High School	481211	117	514	539	500	5	16	63	95	66	50	52.3	53.6	51.1	152	50.6	53.1	48.5
Glenwood High School	480425	4	0	0	0	0	0	1	1	0	0	0	0	0	5	44.8	50.0	48.8
