SchoolName,District name,ZipCodeID,SchoolCity,SchoolID,APNumberOfTestTakers,Enrollment,APTotalTestsTaken,ApPercentOfSchoolInHardClasses,ApGoodScoresPercentPerStudent,APNumberOfHighScores,SATCriticalReadingMean,SATMathMean,SATWritingMean,PsatSophomoreNumberOfTestTakers,PSATJuniorNumberOfTestTakers,PSATSophomoreMathMean,PSATSophomoreCriticalReadingMean,PSATSophomoreWritingSkillsMean,PSATJuniorCriticalReadingMean,PSATJuniorMathMean,PSATJuniorWritingSkillsMean,Graduates,Cohort,Continuing,GraduationRate,ContinuingRate,FailRate,MedianIncome,CostOfLivingIndex,WalkScore,Population,CollegeDegreePercent,MaleToFemaleRatio,MarriedPercent,MedianAge,OwnerOccupiedHomesPercent,DivorcedPercent,SinglePercent,MedianMortgageToIncomeRatio,BachelorsOrHigher,GraduateOrHigher,SomeCollegeOrHigher,UnderHighSchool,LivedInSameHomeForOver5Years,TeacherBadPercent,TeacherPeerBadPercent,PrincipalBadPercent,StaffCostPerStudent,TotalCostPerStudent,StudentToTeacherRatio,TeacherCertificationPercentage,RevenuePercentGoingToBasicEd,EslToBasicEdRatio,AvgTeacherCost,PeoplePerSquareMile,HousingPerSquareMile,PercentWaterInZipCode,Latitude,Longitude,ZipCodeID,EarlyStudentCount,ElementaryStudentCount,HighSchoolCount,MiddleSchoolCount,TotalStudentCount,PreschoolPercent,ElementarySchoolPercent,MiddleSchoolPercent,HighSchoolPercent,MedianHousePrice,AverageRentPrice,ChildrenInPovertyPercent,PoorPercent,Burglary,Theft,CarTheft,ProficientInReadingAndMath,ProficientInReading,ProficientInMath,ViolentCrime,PropertyCrime,Assault,Murder,Rape,Robbery
Thomas Jefferson High School,Federal Way School District,98001,AUBURN,3584,110,1794,125,0.061315496,0.031393,64,521,555,511,212,187,49.625,44.8,43.2,51.175,55.025,48.675,392,491,12,79.8,2.4,17.8,60534,183,28,25495,21.4,100.2,62.1,36.4,83,10.9,27,23.1,21.5,5.2,29,10.8,59,0.0277777,0,0,4829.639651,5263.867921,22.31091142,0.925054599,0.552939602,0.132689585,99678.02101,1721,638.2122905,0.016483516,47.307492,-122.26591,98001,312,7945,7255,5153,22288,0.013998564,0.356469849,0.231200646,0.325511486,289600,1071.666667,9.583333333,48.5,1080301.5,3094201,368856.5,0.615,0.68,0.55,11,192.6666667,138,3,15,79
Auburn Senior High School,Auburn School District,98002,AUBURN,2795,141,1589,204,0.088735053,0.044802,103,502,502,481,76,77,48.975,48.125,46.4,48.125,49.55,45.8,330,447,17,73.8,3.8,22.39999,36991,132.4,72,30905,12.9,90.1,50.6,34,49.5,16.2,33.2,25.9,13,3.9,26.6,18.7,38,0,0,0,5111.537884,5501.00545,23.18188513,0.903181341,0.584974441,0.121582563,107022.5489,4050.51,1719.053876,0.001312336,47.304221,-122.216029,98002,360,10408,5171,6276,24277,0.01482885,0.42871854,0.258516291,0.212999959,253600,855,,22.4,,,,,,,,,,,,
Career Academy at Truman High School,Federal Way School District,98003,Federal Way,5163,0,178,0,0,0,0,390,364,378,14,11,31.95,32.7,32.85,19.25,19.5,18.45,30,44,4,68.2,9.1,22.7,43027,165.1,82,42614,22.8,91.4,51.8,32.6,51.5,12.6,35.6,23.5,22.8,6.5,27.2,12.2,40.4,0.0277777,0,0,4829.639651,5263.867921,22.31091142,0.925054599,0.552939602,0.132689585,99678.02101,3523.09,1463.052544,0.006628003,47.311072,-122.311882,98003,312,7945,7255,5153,22288,0.013998564,0.356469849,0.231200646,0.325511486,230787,1065,12.125,50.9,1080353,3094504,368941.5,0.6075,0.68,0.5375,24,390,128,4,32.5,115.5
Federal Way High School,Federal Way School District,98003,FEDERAL WAY,2417,213,1539,320,0.138401559,0.020327,47,480,484,463,135,166,46.775,45.85,44,44.075,44.85,42.3,313,407,3,76.9,0.7,22.4,43027,165.1,82,42614,22.8,91.4,51.8,32.6,51.5,12.6,35.6,23.5,22.8,6.5,27.2,12.2,40.4,0.0277777,0,0,4829.639651,5263.867921,22.31091142,0.925054599,0.552939602,0.132689585,99678.02101,3523.09,1463.052544,0.006628003,47.311072,-122.311882,98003,312,7945,7255,5153,22288,0.013998564,0.356469849,0.231200646,0.325511486,261366.6667,1065,12.125,48.1,1080353,3094504,368941.5,0.6075,0.68,0.5375,24,390,128,4,32.5,115.5
Federal Way Public Academy,Federal Way School District,98003,FEDERAL WAY,1789,0,296,0,0,0,0,0,0,0,25,0,55.15,55.275,51.4,0,0,0,0,2,0,0,0,100,43027,165.1,82,42614,22.8,91.4,51.8,32.6,51.5,12.6,35.6,23.5,22.8,6.5,27.2,12.2,40.4,0.0277777,0,0,4829.639651,5263.867921,22.31091142,0.925054599,0.552939602,0.132689585,99678.02101,3523.09,1463.052544,0.006628003,47.311072,-122.311882,98003,312,7945,7255,5153,22288,0.013998564,0.356469849,0.231200646,0.325511486,185124,1065,12.125,50.9,1080353,3094504,368941.5,0.6075,0.68,0.5375,24,390,128,4,32.5,115.5
Internet Academy,Federal Way School District,98003,FEDERAL WAY,1759,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,0,2.9,0,97.1,43027,165.1,82,42614,22.8,91.4,51.8,32.6,51.5,12.6,35.6,23.5,22.8,6.5,27.2,12.2,40.4,0.0277777,0,0,4829.639651,5263.867921,22.31091142,0.925054599,0.552939602,0.132689585,99678.02101,3523.09,1463.052544,0.006628003,47.311072,-122.311882,98003,312,7945,7255,5153,22288,0.013998564,0.356469849,0.231200646,0.325511486,277810,1065,12.125,38.1,1080353,3094504,368941.5,0.6075,0.68,0.5375,24,390,128,4,32.5,115.5
Todd Beamer High School,Federal Way School District,98003,FEDERAL WAY,4570,260,1899,462,0.136914165,0.035858,121,488,506,480,180,205,44.725,42.3,41.725,44.25,46.325,42.1,356,440,2,80.9,0.5,18.6,43027,165.1,82,42614,22.8,91.4,51.8,32.6,51.5,12.6,35.6,23.5,22.8,6.5,27.2,12.2,40.4,0.0277777,0,0,4829.639651,5263.867921,22.31091142,0.925054599,0.552939602,0.132689585,99678.02101,3523.09,1463.052544,0.006628003,47.311072,-122.311882,98003,312,7945,7255,5153,22288,0.013998564,0.356469849,0.231200646,0.325511486,261366.6667,1065,12.125,48.1,1080353,3094504,368941.5,0.6075,0.68,0.5375,24,390,128,4,32.5,115.5
Bellevue High School,Bellevue School District,98004,Bellevue,2701,620,1368,1352,0.453216374,0.272198,812,547,587,545,37,324,57.975,53.925,52.725,50.4,53.6,48.775,329,343,3,95.9,0.9,3.199997,63358,424.9,58,22903,57.7,86.9,57.6,43.1,60.6,11.8,30.6,23.6,57.7,20.8,20.2,4.3,47.5,0.0223413,0,0.1764705,5097.318018,5525.662374,23.25742384,0.90056845,0.551860958,0.096712308,106762.827,3053.42,1572.911051,0,47.618371,-122.203083,98004,81,8999,6561,4758,22125,0.003661017,0.406734463,0.215050847,0.296542373,432183,1300,,21,,,,,,,,,,,,
Bsd Voc Ed/Career Educ Options,Bellevue School District,98005,Bellevue,1832,0,218,0,0,0,0,0,0,0,0,16,0,0,0,24.63333333,26.16666667,23,0,103,43,0,41.7,58.3,60173,343.8,71,17150,55.7,97,57.1,37.5,55.4,10.8,32.1,25.1,55.8,21.8,20.6,5.3,42.9,0.0223413,0,0.1764705,5097.318018,5525.662374,23.25742384,0.90056845,0.551860958,0.096712308,106762.827,2115.38,984.4059406,0.001236094,47.611021,-122.168582,98005,81,8999,6561,4758,22125,0.003661017,0.406734463,0.215050847,0.296542373,488070,1300,,21,,,,,,,,,,,,
International School,Bellevue School District,98005,Bellevue,3522,192,547,421,0.351005484,0.242618,291,625,643,614,42,66,57.525,55.625,54.95,59.65,60.825,57.225,56,56,0,100,0,0,60173,343.8,71,17150,55.7,97,57.1,37.5,55.4,10.8,32.1,25.1,55.8,21.8,20.6,5.3,42.9,0.0223413,0,0.1764705,5097.318018,5525.662374,23.25742384,0.90056845,0.551860958,0.096712308,106762.827,2115.38,984.4059406,0.001236094,47.611021,-122.168582,98005,81,8999,6561,4758,22125,0.003661017,0.406734463,0.215050847,0.296542373,725200,1300,,12,,,,,,,,,,,,
Sammamish Senior High,Bellevue School District,98005,Bellevue,3282,461,1081,1040,0.426456984,0.173043,422,533,545,519,27,251,50.35,49.225,47.2,44.75,46.475,43.35,212,243,5,87.2,2.1,10.7,60173,343.8,71,17150,55.7,97,57.1,37.5,55.4,10.8,32.1,25.1,55.8,21.8,20.6,5.3,42.9,0.0223413,0,0.1764705,5097.318018,5525.662374,23.25742384,0.90056845,0.551860958,0.096712308,106762.827,2115.38,984.4059406,0.001236094,47.611021,-122.168582,98005,81,8999,6561,4758,22125,0.003661017,0.406734463,0.215050847,0.296542373,484577,1300,8.8,21,657,2905,207,79,83,75,34,574,69,0,10,59
Newport Senior High School,Bellevue School District,98006,Bellevue,3486,840,1679,2021,0.500297796,0.370829,1498,579,608,572,121,398,56.6,54.6,52.65,53.725,56.425,51.65,400,413,4,96.9,1,2.099998,81929,358.9,34,35140,60.7,94.2,68.1,39.1,80.5,8.1,23.8,22.5,60.7,22.5,19.5,2.9,55,0.0223413,0,0.1764705,5097.318018,5525.662374,23.25742384,0.90056845,0.551860958,0.096712308,106762.827,3257.91,1235.332103,0,47.562975,-122.152604,98006,81,8999,6561,4758,22125,0.003661017,0.406734463,0.215050847,0.296542373,408850,1305,6.5,16.6,1080267.5,3094386,368674.5,0.796666667,0.833333333,0.76,5,164.5,69,0,10,59
Interlake Senior High School,Bellevue School District,98008,Bellevue,3588,554,1510,1111,0.366887417,0.27178,823,560,571,549,76,258,56.6,55.725,53.125,52.225,52.8,49.625,233,265,17,87.9,6.4,5.699997,67391,280.2,32,23490,46.6,92.3,62.7,39.8,75.4,9,28.3,23,46.7,15.1,22.5,7.8,56.4,0.0223413,0,0.1764705,5097.318018,5525.662374,23.25742384,0.90056845,0.551860958,0.096712308,106762.827,4331.58,1721.546961,0.016304348,47.609222,-122.115509,98008,81,8999,6561,4758,22125,0.003661017,0.406734463,0.215050847,0.296542373,511242,1165,2.5,21,657,2905,207,79,83,75,2,72,69,0,10,59
Bothell High School,Northshore School District,98011,Bothell,3106,170,1605,239,0.105919003,0.080214,181,531,557,520,13,278,43.2,41.975,38.975,50.425,53.675,48.1,489,549,6,89.1,1.1,9.800003,61329,245,83,26395,40,89.6,55.4,35.2,66.3,11.9,32.7,23.9,40.1,10.8,25.2,5.7,50.6,0.0167364,0,0,5075.367318,5413.180207,24.75902951,0.923359109,0.572334941,0.047205483,116030.3852,3249.66,1328.817734,0,47.751471,-122.202571,98011,232,7310,6394,4428,19810,0.011711257,0.369005553,0.223523473,0.32276628,461900,1090,,9.3,,,,,,,,,,,,
Henry M. Jackson High School,Everett School District,98012,Mill Creek,4438,264,1933,369,0.136575272,0.093641,253,523,540,517,99,163,50.925,49.175,47.975,50.2,52.45,49.55,425,449,7,94.7,1.6,3.700005,65730,252.2,62,38398,37.8,95.3,63.9,34.6,73.3,9.1,27,24.5,37.8,11.3,26.1,6.3,44.2,0.0070621,0,0,5533.158502,5822.341721,23.80360611,0.914080375,0.597721772,0.096626993,120392.7269,2467.16,952.377892,0,47.84311,-122.204579,98012,241,7281,5578,4253,18810,0.012812334,0.38708134,0.226103137,0.296544391,493352,1630,2.2,40.3,91,369,45,68,76,60,24,311,17,0,6,16
