Participant ID	Start Date	Finish Date	Question	hands-on experience with relevant tools	concepts and abstractions that transcend specific tools	techniques for datasets too large for main memory, but not necessarily huge	techniques for working with massive data sets; tens of terabytes and up	data "wrangling": cleaning, integration, management, manipulation	basic statistics at scale	general machine learning techniques (e.g., regression, clustering, graphical models)	concrete applications of learning techniques (e.g., recommender systems, fraud detection, spam filtering, etc.)	case studies in data science
9469075	10/18/12 21:55	10/18/12 21:57		0	2	2	0	1	1	1	0	0
9469094	10/18/12 21:59	10/18/12 21:59		-1	2	1	1	1	1	1	0	1
9469113	10/18/12 22:01	10/18/12 22:07		0	2	-1	1	-2	1	2	2	1
9469198	10/18/12 22:15	10/18/12 22:16		2	2	1	2	1	0	1	1	1
9469216	10/18/12 22:17	10/18/12 22:19		1	1	0	0	-1	0	1	0	2
9469225	10/18/12 22:19	10/18/12 22:20		2	0	1	0	1	2	2	1	0
9469257	10/18/12 22:25	10/18/12 22:26		1	2	-1	1	-1	2	2	1	1
9469286	10/18/12 22:30	10/18/12 22:32		0	2	1	1	1	1	1	-1	0
9469394	10/18/12 22:50	10/18/12 22:54		1	2	-1	2	-2	2	0	1	2
9469671	10/19/12 0:19	10/19/12 0:20		2	1	1	1	0	0	0	2	1
9469733	10/19/12 0:48	10/19/12 0:50		1	2	1	1	-1	0	1	-2	1
9469942	10/19/12 3:56	10/19/12 4:01		2	1	2	2	2	1	1	2	2
9469973	10/19/12 5:02	10/19/12 5:03		1	0	0	0	0	1	1	1	0
9470086	10/19/12 6:47	10/19/12 6:48		1	0	1	1	1	1	2	2	0
9470295	10/19/12 8:24	10/19/12 8:25		2	2	1	0	2	1	1	1	2
9471068	10/19/12 10:12	10/19/12 10:13		1	2	2	0	0	1	1	1	1
9471184	10/19/12 10:26	10/19/12 10:28		2	1	1	1	-1	2	2	2	0
9471655	10/19/12 11:24	10/19/12 11:25		0	1	1	1	-1	0	1	2	1
9472253	10/19/12 12:48	10/19/12 12:49		0	1	0	1	1	0	1	0	1
9473495	10/19/12 15:57	10/19/12 16:00		1	1	1	-1	0	1	1	-1	1
9473572	10/19/12 16:07	10/19/12 16:10		2	2	-1	0	-1	1	0	0	1
9473966	10/19/12 17:27	10/19/12 17:28		2	2	1	1	1	1	2	2	1
9474375	10/19/12 19:42	10/19/12 20:23		1	1	0	1	-1	1	1	1	1
9474540	10/19/12 20:39	10/19/12 20:40		1	2	2	1	1	1	1	1	2
9475574	10/20/12 10:40	10/20/12 10:42		2	2	1	1	0	0	1	0	2
9477265	10/20/12 19:47	10/20/12 19:48		1	2	2	2	2	2	2	1	2
9478571	10/21/12 11:16	10/21/12 11:17		0	2	0	1	-1	2	1	1	-1
9479934	10/21/12 15:23	10/21/12 15:24		1	1	0	1	0	2	2	1	1
9482644	10/21/12 20:50	10/21/12 20:53		1	-1	1	2	2	-1	0	1	1
9482949	10/21/12 21:19	10/21/12 21:22		1	1	1	2	1	2	0	0	1
9485364	10/22/12 7:03	10/22/12 7:03		1	0	0	0	0	1	2	2	1
9485536	10/22/12 8:11	10/22/12 8:12		2	1	0	0	1	2	2	2	-1
9485601	10/22/12 8:25	10/22/12 8:28		1	1	1	1	0	1	1	1	0
9489034	10/22/12 14:02	10/22/12 14:04		0	2	1	1	1	1	2	1	1
9493448	10/22/12 21:34	10/22/12 21:36		2	1	0	1	2	1	2	2	2
9497140	10/23/12 11:32	10/23/12 11:33		1	1	0	0	1	2	2	2	0
9499409	10/23/12 15:26	10/23/12 15:27		2	2	2	2	2	2	2	2	1
